,index,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1603,3221,Congregation,1986,140.0,Drama,6.5,15,Muzaffar Ali,Shabana Azmi,Farooq Shaikh,Rohini Hattangadi
1604,3224,Consequence Karma,2021,92.0,"Drama, Thriller",9.0,223,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta
1605,3226,Contract,2008,117.0,"Action, Crime, Drama",4.0,230,Ram Gopal Varma,Adhvik Mahajan,Sakshi Gulati,Amruta Khanvilkar
1606,3227,Cookie,2020,104.0,Horror,6.2,191,Lalit Marathe,Nabeel Ahmed,Amit Ashar,Bhavin Bhanushali
1607,3228,Cooking with Stella,2009,104.0,"Comedy, Drama",5.4,282,Dilip Mehta,Seema Biswas,Don McKellar,Lisa Ray
1608,3229,Coolie,1983,177.0,"Action, Comedy, Drama",6.6,2123,Manmohan Desai,Prayag Raj,Amitabh Bachchan,Waheeda Rehman
1609,3230,Coolie No. 1,1995,143.0,"Action, Comedy, Romance",6.6,4843,David Dhawan,Govinda,Karisma Kapoor,Harish
1610,3231,Coolie No. 1,1991,146.0,"Action, Drama, Romance",6.7,678,K. Raghavendra Rao,Venkatesh Daggubati,Tabu,Babu Mohan
1611,3232,Coolie No. 1,2020,134.0,"Action, Comedy, Romance",2.9,56232,David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal
1612,3233,Corporate,2006,142.0,Drama,6.5,1957,Madhur Bhandarkar,Bipasha Basu,Kay Kay Menon,Raj Babbar
1613,3238,Courage,1992,161.0,"Action, Drama, Romance",4.8,787,Farogh Siddique,Ajay Devgn,Karisma Kapoor,Ajit
1614,3239,Court,2014,116.0,Drama,7.7,4338,Chaitanya Tamhane,Vira Sathidar,Vivek Gomber,Geetanjali Kulkarni
1615,3240,Court Martial,2020,120.0,Drama,6.8,179,Sourabh Shrivastava,Karwarkar Bhavika,Saksham Dayma,Rajeev Khandelwal
1616,3241,Cover Story,2000,140.0,Thriller,5.3,105,G.S. Vijayan,Suresh Gopi,Joemon Joshy,Biju Menon
1617,3245,Crazy Cukkad Family,2015,133.43912352005654,Comedy,5.1,46,Ritesh Menon,Swanand Kirkire,Shilpa Shukla,Kushal Punjabi
1618,3246,Crazy Mad Lover,2011,163.0,"Action, Comedy, Drama",5.6,4059,Samir Karnik,Nafisa Ali,Yugesh Anil,Madhuri Bhattacharya
1619,3248,Crd,2016,108.0,"Drama, Romance",6.2,119,Kranti Kanadé,Mrinmayee Godbole,Isha Keskar,Abhay Mahajan
1620,3249,Creature,2014,134.0,"Action, Horror, Sci-Fi",3.1,1308,Vikram Bhatt,Bipasha Basu,Imran Abbas,Mukul Dev
1621,3252,Criminal,1994,123.0,"Action, Romance, Thriller",5.7,450,Mahesh Bhatt,Nagarjuna Akkineni,Manisha Koirala,Ramya Krishnan
1622,3253,Crook: It's Good to Be Bad,2010,121.0,"Action, Drama, Thriller",5.1,1965,Mohit Suri,Emraan Hashmi,Neha Sharma,Arjan Bajwa
1623,3255,Cryptic Road,2016,84.0,"Mystery, Sci-Fi, Thriller",7.3,23,Moosa Saleem,Hardik Kapadia,Vijay Ashok Sharma,Aastha Gautam
1624,3256,Current,1992,119.0,Drama,6.9,54,K. Hariharan,Om Puri,Deepti Naval,Shreeram Lagoo
1625,3259,Cycle Kick,2011,86.0,"Drama, Sport",6.1,100,Shashi Sudigala,Nishan Nanaiah,Sunny Hinduja,Girija Oak
1626,3262,Cypher,2019,130.0,"Biography, Family",8.3,29,Sagar Pathak,Kirti Adarkar,Aarya Adhav,Arun Bali
1627,3263,D,2005,107.0,"Crime, Drama, Thriller",6.8,1188,Vishram Sawant,Randeep Hooda,Chunky Panday,Rukhsar Rehman
1628,3264,D Company,2021,91.0,"Action, Crime, Thriller",4.4,218,Ram Gopal Varma,Sandeep Bose,Abhilash Chaudhary,Pranay Dixit
1629,3266,Daadagiri,1997,138.0,"Drama, Action, Comedy",4.6,30,Arshad Khan,Ayub Khan,Ritu Parna,Simran
1630,3267,Daadi Maa,1966,171.0,"Action, Comedy, Drama",6.2,20,L.V. Prasad,Ashok Kumar,Bina Rai,Dilip Raj
1631,3268,Daaera,1953,139.0,Drama,6.5,32,Kamal Amrohi,Meena Kumari,Nasir Khan,M. Kumar
1632,3269,Daag,1952,149.0,"Drama, Romance",7.0,159,Amiya Chakrabarty,Dilip Kumar,Nimmi,Usha Kiran
1633,3271,Daag: A Poem of Love,1973,146.0,"Drama, Music, Romance",7.0,438,Yash Chopra,Rajesh Khanna,Sharmila Tagore,Rakhee Gulzar
1634,3273,Daag: The Fire,1999,152.0,"Action, Drama, Thriller",4.8,670,Raj Kanwar,Sanjay Dutt,Chandrachur Singh,Mahima Chaudhry
1635,3277,Daaku,1975,133.43912352005654,"Action, Thriller",5.6,8,Basu Bhattacharya,Kabir Bedi,Bindu,Amrish Puri
1636,3280,Daal Me Kala,1964,128.0,"Comedy, Drama",6.0,21,Satyen Bose,Nimmi,Kishore Kumar,Abhi Bhattacharya
1637,3281,Daal Mein Kuch Kaala Hai,2012,130.0,Comedy,3.9,75,Anand Balraj,Anand Balraj,Sudesh Berry,Kishore Anand Bhanushali
1638,3283,Daaman Aur Aag,1973,133.43912352005654,"Drama, Romance",6.0,6,Vinod Kumar,Sanjay Khan,Saira Banu,Balraj Sahni
1639,3285,Daanveer,1996,133.43912352005654,"Action, Crime, Drama",3.6,17,T.L.V. Prasad,Vikas Anand,Anusha,Asrani
1640,3287,Daas,2005,163.0,"Action, Romance",3.1,115,Babu Yogeswaran,Vadivelu,Fefsi Vijayan,Krishna Ghattamaneni
1641,3288,Daas Dev,2018,140.0,"Drama, Thriller",5.1,257,Sudhir Mishra,Yogesh Raj Mishra,Rahul Bhatt,Richa Chadha
1642,3290,Daasi,1981,133.43912352005654,"Drama, Romance",5.0,32,Raj Khosla,Sanjeev Kumar,Rekha,Moushumi Chatterjee
1643,3293,Daata,1989,133.43912352005654,"Action, Drama",5.4,73,Sultan Ahmed,Tom Alter,Shoma Anand,Arun Bakshi
1644,3294,Daava,1997,145.0,"Action, Drama, Romance",4.5,571,Sunil Agnihotri,Naseeruddin Shah,Akshay Kumar,Raveena Tandon
1645,3295,Daawat-e-Biryani,2019,89.0,Drama,7.1,22,Aditi Roy,Jayant Kripalani,Sauraseni Maitra,Suhasini Mulay
1646,3296,Daawat-e-Ishq,2014,118.0,"Comedy, Drama, Romance",6.1,5500,Habib Faisal,Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher
1647,3297,Daayan,1998,133.43912352005654,Horror,4.4,10,D.S. Azad,Sanjeeva Affrin,Satyendra Kapoor,Shakti Kapoor
1648,3299,Daayen Ya Baayen,2010,115.0,"Comedy, Drama, Family",6.3,146,Bela Negi,Deepak Dobriyal,Manav Kaul,Badrul Islam
1649,3300,Dabang Sarkar,2018,133.43912352005654,Action,4.2,18,Yogesh Raj Mishra,Akanksha Awasthi,C P Bhatt,Samarth Chaturvedi
1650,3301,Dabangg,2010,126.0,"Action, Comedy, Crime",6.2,30194,Abhinav Kashyap,Salman Khan,Sonakshi Sinha,Sonu Sood
1651,3302,Dabangg 2,2012,120.0,"Action, Comedy, Crime",4.8,16920,Arbaaz Khan,Salman Khan,Sonakshi Sinha,Prakash Raj
1652,3303,Dabangg 3,2019,160.0,"Action, Comedy, Crime",3.0,15817,Prabhu Deva,Salman Khan,Sudeep,Sonakshi Sinha
1653,3306,Dacait,1987,158.0,"Action, Drama",6.5,270,Rahul Rawail,Rakhee Gulzar,Sunny Deol,Meenakshi Sheshadri
1654,3307,Dacait,2000,133.43912352005654,Action,5.1,9,Jitendra Chawda,Ishrat Ali,Dharmendra,Mohan Joshi
1655,3311,Dada,1979,137.0,"Action, Drama, Family",5.0,24,Jugal Kishore,Vinod Mehra,Bindiya Goswami,Jeevan
1656,3313,Dada,1999,133.0,Action,4.8,30,T.L.V. Prasad,Ishrat Ali,Arjun,Mithun Chakraborty
1657,3315,Dadagiri,1987,133.43912352005654,"Action, Crime, Drama",5.5,51,Deepak S. Shivdasani,Rati Agnihotri,Rakesh Bedi,Mohan Choti
1658,3316,Dadar Kirti,1980,154.0,"Comedy, Drama",7.2,191,Tarun Majumdar,Tapas Pal,Ayan Banerjee,Mahua Roy Chowdhury
1659,3317,Daddy,2017,134.0,"Action, Biography, Crime",6.4,1886,Ashim Ahluwalia,Arjun Rampal,Aishwarya Rajesh,Nishikant Kamat
1660,3318,Daddy Cool: Join the Fun,2009,102.0,"Comedy, Drama",3.8,362,K. Muralimohana Rao,Sunil Shetty,Aarti Chhabria,Aashish Chaudhary
1661,3319,Daddy's Daughter,2017,97.0,Drama,7.7,40,Abhimanyu Chauhan,Mithilesh Chaturvedi,Farheen Khan,Garima Rastogi
1662,3321,Dafaa 302: Indian Penal Code Section 302 (Section of Murder),1975,118.0,"Drama, Mystery",4.9,7,K. Shrivastava,Randhir Kapoor,Rekha,Ajit
1663,3328,Dagadi Chaawl,2015,120.0,"Action, Crime, Drama",6.2,180,Chandrakant Kanse,Ankush Chaudhari,Makrand Deshpande,Pooja Sawant
1664,3329,Dahan,1998,145.0,Drama,7.4,285,Rituparno Ghosh,Shakuntala Barua,Chandni,Abhishek Chatterjee
1665,3330,Dahej,1950,149.0,Drama,6.3,15,Shantaram Rajaram Vankudre,Mumtaz Begum,Karan Dewan,Jayashree
1666,3332,Dahek: A Burning Passion,1999,155.0,"Drama, Romance, Thriller",5.5,189,Lateef Binny,Sonali Bendre,Danny Denzongpa,Anang Desai
1667,3333,Dahek: A Restless Mind,2007,133.43912352005654,"Crime, Drama, Romance",5.9,14,Aroop Adhikari,Sharad S. Kapoor,Amit Khaladkar,Rajit Kapoor
1668,3335,Dahleez,1986,161.0,"Action, Drama",5.3,50,Ravi Chopra,Jackie Shroff,Raj Babbar,Meenakshi Sheshadri
1669,3336,Dahshat,1981,133.43912352005654,Horror,5.7,58,Shyam Ramsay,Tulsi Ramsay,Navin Nischol,Sarika
1670,3339,Daisy,1988,133.43912352005654,Drama,7.1,76,Prathap Pothen,Harish,Sohniya,Sonia
1671,3341,Dak Bangla,1987,133.43912352005654,Horror,5.2,72,Keshu Ramsay,Aaloka,Bhakti Bhansali,Leena Das
1672,3350,Daku Aur Jawan,1978,133.43912352005654,Action,5.4,15,Sunil Dutt,Sunil Dutt,Reena Roy,Vinod Khanna
1673,3351,Daku Aur Mahatma,1977,127.0,"Action, Drama",4.7,7,Ravikant Nagaich,Rajendra Kumar,Reena Roy,Kabir Bedi
1674,3357,Daku Ganga Jamuna,2000,93.0,"Action, Adventure, Crime",3.9,7,Kanti Shah,Sapna Sappu,Amit Pachori,Durgesh Nandini
1675,3358,Daku Hasina,1987,133.43912352005654,"Action, Drama",5.5,31,Ashok Roy,Zeenat Aman,Rajinikanth,Pradeep Kumar
1676,3361,Daku Kali Bhawani,2000,120.0,Action,3.8,5,S.R. Pratap,Dharmendra,Milind Gunaji,Mohan Joshi
1677,3365,Daku Mangal Singh,1966,133.43912352005654,"Action, Drama",6.4,10,Chand,Dara Singh,Mumtaz,Prithviraj Kapoor
1678,3370,Daku Ramkali,2000,134.0,"Adventure, Drama, Musical",5.0,17,Kanti Shah,Sapna Sappu,Jay Thakur,Rajesh Vivek
1679,3376,Dal: The Gang,2001,133.43912352005654,Action,4.9,7,Vicky Ranawat,Ishrat Ali,Sadashiv Amrapurkar,Rajesh Bakshi
1680,3377,Dalaal,1993,160.0,"Action, Drama",4.9,105,Partho Ghosh,Mithun Chakraborty,Ayesha Jhulka,Ravi Behl
1681,3381,Dam999,2011,108.0,"Adventure, Drama, Sci-Fi",3.3,980,Sohan Roy,Vinay Rai,Joshua Fredric Smith,Megha Burman
1682,3383,Damaad,1978,110.0,Comedy,7.0,52,Rajat Rakshit,Amol Palekar,Ranjeeta Kaur,Ashok Saraf
1683,3385,Damadamm!,2011,122.0,"Comedy, Drama, Romance",4.0,406,Swapna Joshi,Himesh Reshammiya,Sonal Sehgal,Purbi Joshi
1684,3387,Daman: A Victim of Marital Violence,2001,133.43912352005654,Drama,5.5,88,Kalpana Lajmi,Raveena Tandon,Sayaji Shinde,Sanjay Suri
1685,3388,Damini,1993,175.0,"Crime, Drama",7.8,3185,Rajkumar Santoshi,Meenakshi Sheshadri,Rishi Kapoor,Sunny Deol
1686,3392,Damul,1985,106.0,Drama,6.7,127,Prakash Jha,Manohar Singh,Annu Kapoor,Sreela Majumdar
1687,3394,Dana Paani,1989,133.43912352005654,"Action, Crime, Drama",4.9,19,Deven Verma,Mithun Chakraborty,Padmini Kolhapure,Nirupa Roy
1688,3395,Danav,2003,133.43912352005654,"Action, Romance",4.7,12,Makrand Deshpande,Sonali Kulkarni,Aryan Vaid,Sayaji Shinde
1689,3396,Dance Dance,1987,153.0,"Action, Drama, Musical",6.1,267,Babbar Subhash,Mithun Chakraborty,Smita Patil,Mandakini
1690,3399,Dance of the Wind,1997,85.0,"Drama, Music",6.6,128,Rajan Khosa,Ami Arora,Roshan Bano,Kitu Gidwani
1691,3400,Dance Party,1995,124.0,"Family, Music, Romance",2.6,25,Deepak Balraj Vij,Raman Trikha,Raymon Singh,Aartii Naagpal
1692,3401,Dancer,1991,150.0,"Action, Drama, Musical",3.9,613,Kishore Vyas,Akshay Kumar,Kirti Singh,Mohnish Bahl
1693,3407,Dand Nayak,1998,153.0,Action,3.7,24,Sikander Bharti,Arjun,Arun Bakshi,Arun Bali
1694,3410,Dangal,2016,161.0,"Action, Biography, Drama",8.4,165074,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
1695,3412,Danger,2005,133.43912352005654,Action,4.7,6,Allari Naresh,Satya Prakash,Aahuthi Prasad,Sai Ram Shankar
1696,3413,Danger,2002,133.43912352005654,"Crime, Drama, Thriller",6.8,53,Govind Menon,Ashutosh Rana,Tara Deshpande,Jas Arora
1697,3418,Dangerous Ishq,2012,130.0,"Fantasy, Mystery, Romance",3.9,847,Vikram Bhatt,Karisma Kapoor,Rajniesh Duggall,Divya Dutta
1698,3420,Dank,2019,108.0,"Horror, Thriller",5.7,19,Pushkar Manohar,Sharad Ponkshe,Smita Shewale,Ananda Karekar
1699,3423,Dansh,2005,103.0,Drama,7.0,65,Kamika Verma,Kanika Verma,Kay Kay Menon,Sonali Kulkarni
1700,3424,Dansh,2018,85.0,Drama,8.3,9,Balmukund Tripathi,Abhishek Brahmachari,Ajay Dubey,Harsh Gupta
1701,3426,Daraar,1996,105.0,"Action, Drama, Romance",5.4,506,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Rishi Kapoor,Juhi Chawla
1702,3427,Daraar,1987,133.43912352005654,Action,2.6,13,Raj Bharat,Amala Akkineni,Raj Babbar,Kiran Kumar
1703,3429,Darasingh: Ironman,1964,133.43912352005654,"Action, Adventure, Drama",5.6,10,Kedar Kapoor,Dara Singh,Nishi,Jeevan
1704,3431,Darbaan,2020,145.0,Drama,7.5,727,Bipin Nadkarni,Sharib Hashmi,Sharad Kelkar,Mukesh Ramani
1705,3434,Darbar,2020,159.0,"Action, Thriller",6.1,5175,A.R. Murugadoss,Rajinikanth,Nayanthara,Nivetha Thomas
1706,3435,Dard,1947,133.43912352005654,"Drama, Family, Musical",6.3,15,Abdul Rashid Kardar,Shyam Kumar,Nusrat,Munawar Sultana
1707,3436,Dard (Conflict of Emotions),1981,133.43912352005654,"Drama, Crime, Family",7.2,64,Ambrish Sangal,Rajesh Khanna,Hema Malini,Poonam Dhillon
1708,3437,Dard Ka Rishta,1982,152.0,Drama,7.0,64,Sunil Dutt,Sunil Dutt,Reena Roy,Smita Patil
1709,3442,Dard-E-Dil,1983,133.43912352005654,"Action, Romance",6.7,13,Suraj Prakash,Mukesh Khanna,Zarina Wahab,Shashikala
1710,3445,Darinda,1977,133.43912352005654,Action,5.9,23,Kaushal Bharati,Khausal Bharti,Sunil Dutt,Parveen Babi
1711,3446,Darinda,2005,76.0,Horror,5.2,8,Kanti Shah,Anil Nagrath,Sapna Sappu,Vinod Tripathi
1712,3448,Dariya Dil,1988,146.0,Drama,5.1,191,K. Ravi Shankar,Govinda,Kimi Katkar,Roshni
1713,3453,Darklight,2019,113.0,Drama,6.5,8,Mayur Hardas,Chandni,Raj Arjun,Ishan Chavan
1714,3455,Darkness Visible,2019,107.0,Thriller,5.6,329,Neil Biswas,Seema Biswas,Sayani Gupta,Salóme Gunnarsdóttir
1715,3456,Darling,2007,128.0,"Drama, Horror, Romance",3.8,589,Ram Gopal Varma,Fardeen Khan,Esha Deol,Isha Koppikar
1716,3457,Darling Darling,1977,133.43912352005654,Romance,6.8,34,Gogi Anand,Dev Anand,Zeenat Aman,Nadira
1717,3459,Darmiyaan: In Between,1997,128.0,Drama,7.2,62,Kalpana Lajmi,Kirron Kher,Arif Zakaria,Tabu
1718,3460,Darna Mana Hai,2003,121.0,Horror,6.3,3207,Prawaal Raman,Saif Ali Khan,Sameera Reddy,Vivek Oberoi
1719,3461,Darna Zaroori Hai,2006,108.0,Horror,5.4,1962,J.D. Chakravarthi,Manish Gupta,Sajid Khan,Jijy Philip
1720,3462,Darogaji,1949,123.0,"Crime, Drama, Romance",7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj,Rashid Khan
1721,3464,Darpan,1970,140.0,"Drama, Family",7.1,37,Adurthi Subba Rao,Sunil Dutt,Waheeda Rehman,Sonia Sahni
1722,3466,Darr,1993,178.0,"Action, Drama, Romance",7.8,22635,Yash Chopra,Juhi Chawla,Sunny Deol,Shah Rukh Khan
1723,3467,Darr @ the Mall,2014,124.0,"Horror, Thriller",4.9,936,Pawan Kripalani,Jimmy Sheirgill,Nushrat Bharucha,Arif Zakaria
1724,3471,Darwaza,1978,117.0,Horror,6.0,89,Shyam Ramsay,Tulsi Ramsay,Anil Dhawan,Shyamalee
1725,3472,Darwaza,2002,84.0,Horror,4.3,50,Kanti Shah,Arun Mathur,Anil Nagrath,Amit Pachori
1726,3473,Darwaza Bandh Rakho,2006,106.0,"Comedy, Crime, Drama",5.3,337,J.D. Chakravarthi,Ishrat Ali,Abhay Bhargava,Snehal Dabi
1727,3475,Das Capital Gulamon Ki Rajdhani,2020,133.43912352005654,Drama,7.1,28,Rajan Kothari,Dayal Nihalani,Yashpal Sharma,Pratibha Sharma
1728,3478,Dashavatar,2008,119.0,"Animation, Family",6.4,110,Bhavik Thakore,Vinay Apte,Kenneth Desai,Rupali Ganguly
1729,3482,Dassehra,2018,131.0,"Action, Thriller",3.8,316,Manish Vatssalya,Saurabh Choudhary,Neil Nitin Mukesh,Tina Desai
1730,3483,Dastaan,1972,173.0,"Comedy, Drama, Thriller",6.9,122,B.R. Chopra,Dilip Kumar,Sharmila Tagore,Prem Chopra
1731,3485,Dastak,1996,141.0,"Drama, Romance",4.7,293,Mahesh Bhatt,Sushmita Sen,Mukul Dev,Sharad S. Kapoor
1732,3486,Dastak,1970,145.0,Drama,7.1,122,Rajinder Singh Bedi,Sanjeev Kumar,Rehana Sultan,Shakeela Bano Bhopali
1733,3487,Dastan,1950,122.0,"Drama, Family, Romance",6.8,61,Abdul Rashid Kardar,Suraiya,Raj Kapoor,Veena
1734,3490,Dastoor,1991,133.43912352005654,"Drama, Mystery",4.8,11,Anil Mattoo,Pomy Dev,Dolly Minhas,Dinesh Hingoo
1735,3492,Dasvidaniya,2008,113.0,"Comedy, Drama",7.8,6140,Shashant Shah,Vinay Pathak,Sarita Joshi,Rajat Kapoor
1736,3493,Dattak,2001,125.0,Drama,7.4,57,Gul Bahar Singh,Rajit Kapoor,Anjan Srivastav,A.K. Hangal
1737,3494,Daud: Fun on the Run,1997,180.0,"Action, Adventure, Comedy",5.9,1006,Ram Gopal Varma,Sanjay Dutt,Urmila Matondkar,Paresh Rawal
1738,3498,Daulat,1982,150.0,"Action, Crime, Drama",6.1,35,Mohan Segal,Vinod Khanna,Zeenat Aman,Amjad Khan
1739,3502,Daulat Ke Dushman,1983,133.43912352005654,Action,3.3,15,Bimal Rawal,Manu,Manjushree,Mehmood
1740,3506,Daulat Ki Jung,1992,143.0,"Action, Adventure, Romance",5.7,834,S.A. Kader,Aamir Khan,Juhi Chawla,Shafi Inamdar
1741,3507,Dav Pech,1989,133.43912352005654,Action,4.1,18,Kawal Sharma,Jeetendra,Bhanupriya,Prem Chopra
1742,3509,David,2013,155.0,"Action, Crime, Drama",6.2,2608,Bejoy Nambiar,Vikram,Neil Nitin Mukesh,Vinay Virmani
1743,3513,Dayar E Madina,1975,137.0,Drama,7.2,6,A. Shamsheer,Nazima,Tabrez,Heena Kausar
1744,3515,Dayavan,1988,173.0,"Action, Crime, Drama",6.5,548,Feroz Khan,Vinod Khanna,Feroz Khan,Amala Akkineni
1745,3516,Days and Nights on Earth,2017,75.0,Drama,8.1,15,Piyush Sharma,Charvi Dutta,Rishi Singh,Anuj Sen
1746,3517,Days of Tafree,2016,155.0,Comedy,7.3,252,Krishnadev Yagnik,Yash Soni,Ansh Bagri,Sarabjeet Bindra
1747,3518,D-Day,2013,153.0,"Action, Thriller",7.2,9525,Nikkhil Advani,Irrfan Khan,Rishi Kapoor,Arjun Rampal
1748,3519,De Dana Dan,2009,162.0,"Action, Comedy, Crime",5.5,7758,Priyadarshan,Akshay Kumar,Sunil Shetty,Katrina Kaif
1749,3520,De De Pyaar De,2019,135.0,"Comedy, Drama, Romance",6.6,7329,Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh
1750,3523,De Taali,2008,140.0,"Comedy, Drama, Romance",4.1,808,Eeshwar Nivas,Aftab Shivdasani,Riteish Deshmukh,Ayesha Takia
1751,3524,Dead Morning,2016,126.0,"Comedy, Thriller",6.4,10,Prashant Passy Pilley,Manisha Chauhan,Nidhi Gupta,Saurabh Kishore
1752,3525,Deadline: Sirf 24 Ghante,2006,102.0,"Crime, Thriller",6.3,585,Tanveer Khan,Rajit Kapoor,Konkona Sen Sharma,Jhanak Shukla
1753,3527,Dear Dad,2016,95.0,"Drama, Family",6.3,384,Tanuj Bhramar,Arvind Swamy,Ekavali Khanna,Himanshu Sharma
1754,3528,Dear Maya,2017,111.0,"Drama, Romance",5.8,390,Sunaina Bhatnagar,Manisha Koirala,Madiha Imam,Shreya Chaudhary
1755,3529,Dear Molly,2018,91.0,Drama,7.8,10,Gajendra Ahire,Alok Rajwade,Mrinmayee Godbole,Gurbani Gill
1756,3530,Dear Vs Bear,2014,145.0,"Adventure, Thriller",6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi
1757,3531,Dear Zindagi,2016,151.0,"Drama, Romance",7.5,37149,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor
1758,3533,Debshishu,1987,100.0,Drama,7.5,22,Utpalendu Chakrabarty,Bijoy Dey,Noni Ganguly,Rohini Hattangadi
1759,3538,Dedh Ishqiya,2014,152.0,"Comedy, Drama, Romance",7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
1760,3540,Deedar,1992,130.0,"Drama, Romance",4.3,578,Pramod Chakravorty,Akshay Kumar,Karisma Kapoor,Laxmikant Berde
1761,3541,Deedar,1951,130.0,"Musical, Romance",7.6,198,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar
1762,3543,Deedar-E-Yaar,1982,133.43912352005654,"Drama, Romance",5.3,45,Harnam Singh Rawail,Jeetendra,Rekha,Rishi Kapoor
1763,3551,Deewaanapan,2001,153.0,"Action, Romance",4.6,418,Ashu Trikha,Arjun Rampal,Dia Mirza,Vinod Khanna
1764,3553,Deewaangee,1976,168.0,"Action, Crime, Drama",6.5,40,Samir Ganguly,Shashi Kapoor,Zeenat Aman,Ranjeet
1765,3554,Deewaar,1975,174.0,"Action, Crime, Drama",8.1,10361,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy
1766,3555,Deewana,1952,133.43912352005654,Romance,5.0,10,Abdul Rashid Kardar,Suraiya,Sumitra Devi,Suresh
1767,3556,Deewana,1992,185.0,"Action, Comedy, Crime",6.9,6298,Raj Kanwar,Rishi Kapoor,Divya Bharti,Shah Rukh Khan
1768,3560,Deewana Hoon Pagal Nahi,1998,133.43912352005654,"Drama, Family, Action",4.1,8,Mohanji Prasad,Rakesh Bedi,Laxmikant Berde,Vikas Bhalla
1769,3561,Deewana Main Deewana,2013,130.0,"Comedy, Drama, Romance",2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan
1770,3562,Deewana Mastana,1997,140.0,"Comedy, Romance",6.7,2488,David Dhawan,Anil Kapoor,Govinda,Juhi Chawla
1771,3563,Deewana Mujh Sa Nahin,1990,130.0,"Romance, Comedy, Drama",5.7,953,Y. Nageswara Rao,M. Parvez,Aamir Khan,Madhuri Dixit
1772,3564,Deewana Tere Naam Ka,1987,97.0,"Drama, Romance",5.0,25,Deepak Bahry,Mithun Chakraborty,Vijayata Pandit,Danny Denzongpa
1773,3565,Deewane,2000,164.0,"Action, Romance",4.7,587,Harry Baweja,Ajay Devgn,Urmila Matondkar,Mahima Chaudhry
1774,3566,Deewane,1991,133.43912352005654,Romance,3.2,6,Chander Sharma,Akashdeep,Beena Banerjee,Bindu
1775,3567,Deewane Huye Paagal,2005,158.0,"Action, Comedy, Drama",5.3,4622,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty
1776,3569,Deewangee,2002,169.0,"Crime, Drama, Mystery",6.6,2620,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar
1777,3572,Deha,2007,126.0,Romance,6.4,66,Mahesh Manjrekar,Mahesh Manjrekar,Jaya Prada,Supriya Karnik
1778,3576,Dehraadun Diary,2013,133.43912352005654,Thriller,5.6,50,Milind Ukey,Adhyayan Suman,Rati Agnihotri,Muntazir Ahmad
1779,3578,Dekh Bhai Dekh: Laughter Behind Darkness,2009,105.0,"Comedy, Crime, Drama",4.5,26,Rahat Kazmi,Gracy Singh,Siddharth Koirala,Raghuvir Yadav
1780,3579,Dekh Kabira Roya,1957,141.0,"Comedy, Romance",7.4,29,Amiya Chakrabarty,Anita Guha,Anoop Kumar,Jawahar Kaul
1781,3581,Dekh Tamasha Dekh,2014,110.0,Comedy,6.1,284,Feroz Abbas Khan,Satish Kaushik,Tanvi Azmi,Vinay Jain
1782,3586,Dekha Pyar Tumhara,1985,138.0,"Comedy, Drama",5.6,38,Virendra Sharma,Kamal Haasan,Rati Agnihotri,Deven Verma
1783,3589,Delhi 47 KM,2018,98.0,Drama,5.9,24,Shadab Khan,Shadab Khan,Shadab Khan,Shadab Khan
1784,3590,Delhi Belly,2011,103.0,"Action, Comedy, Crime",7.6,28299,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
1785,3597,Delhi in a Day,2011,88.0,"Comedy, Drama",6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan
1786,3601,Delhi Safari,2012,96.0,"Animation, Adventure, Comedy",5.6,1631,Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar
1787,3602,Delhi-6,2009,141.0,Drama,6.1,7256,Rakeysh Omprakash Mehra,Waheeda Rehman,Abhishek Bachchan,Sonam Kapoor
1788,3603,Delhii Heights,2007,133.43912352005654,"Drama, Romance",4.2,183,Kumar Anand,Jimmy Sheirgill,Neha Dhupia,Manoj Bakshi
1789,3604,Delinquent Dancers,2012,94.0,Music,5.9,48,Samit Kakkad,Akhilesh,Sulabha Arya,Raqesh Bapat
1790,3607,Department,2012,141.0,"Action, Crime, Thriller",3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu
1791,3609,Des Pardes,1978,133.43912352005654,"Drama, Family",7.1,151,Dev Anand,Dev Anand,Ajit,Pran
